WEAPONTYPE,WEAPONTYPE_COMMON_NAME,WEAPON_CLASS,WEAPON_COUNT
CBU-19,CBU-19/A,BOMB,417
CBU19 RIOT CONTROL,CBU-19/A,BOMB,19
CBU-2,CBU-2/A,BOMB,15458
CBU2 ANTI-MTL MUNIT,CBU-2/A,BOMB,30
CBU-22,CBU-22/A,BOMB,824
CBU22 INCEN SMOKE,CBU-22/A,BOMB,421
CBU-23,CBU-23/B,BOMB,1
CBU24,CBU-24/B,BOMB,2
CBU-24,CBU-24/B,BOMB,57
CBU24 AN PR/MT (BLU26),CBU-24/B,BOMB,14135
CBU-24/29,CBU-24/B,BOMB,55618
CBU25 AN PR/MT (BLU24),CBU-25/A,BOMB,3418
CBU-28,CBU-28/A,BOMB,280
CBU28 AN PR MINE,CBU-28/A,BOMB,46
CBU28/BLU43B,CBU-28/A,BOMB,16
CBU29 AN PR/MT (BLU36),CBU-29/B,BOMB,49
CBU-3,CBU-3/A,BOMB,7
CBU3 AN TANK (BLU7),CBU-3/A,BOMB,4
CBU30 RIOT CTL (BLU39),CBU-30/A,BOMB,22
CBU-33,CBU-33/A,BOMB,111
CBU33 AVLM (BLU45),CBU-33/A,BOMB,41
CBU-34,CBU-34/A,BOMB,350
CBU34 AN PR/MT (BLU42),CBU-34/A,BOMB,9
CBU38 AN MTL (BLU49),CBU-38/A,BOMB,693
CBU-39,CBU-39/A,BOMB,1
CBU39 GRAVEL BOMB,CBU-39/A,BOMB,23
CBU40 (10 CDU5),CBU-40/A,BOMB,2
CBU42 WAAPM (BLU54),CBU-42/A,BOMB,336
CBU46 AN PR/MT (BLU66),CBU-46/A,BOMB,275
CBU46 ANTI-PER,CBU-46/A,BOMB,330
CBU-49,CBU-49/B,BOMB,66
CBU49 AN PR MINE,CBU-49/B,BOMB,4158
CBU52 AN MTL (BLU61),CBU-52/B,BOMB,1678
CBU55 AN PR BOMB (FAE),CBU-55/B,BOMB,357
CBU58 AN PR BOMB,CBU-58/B,BOMB,1114
CBU-7,CBU-7/A,BOMB,5448
CDU10 MICRO GRAVEL,CBU-10/B,BOMB,2
CDU14 GRAVEL,CBU-14/A,BOMB,113
COMMIKE III SENSOR,,SUPPORT,59
DRONE AGM-37A,,MISSILE,40
FALCON,AIM-26 Falcon,MISSILE,2955
FALCON AIM-26,AIM-26 Falcon,MISSILE,531
FLARES-MK24_MK6_LUUI8,,SUPPORT,23277
FLARES--MLU-32/899,,SUPPORT,13
HERBICIDE,,SUPPORT,182
HERBICIDE (GALLONS),,SUPPORT,185
HILL GENIE,,SUPPORT,12
HVAC 5 IN ROCKET,,ROCKET,635
KMU342B (M117 LGB-750),BOLT-117,SUPPORT,5
LAU 10A (ZUNI LCHR),LAU-10/A,ROCKET,1265
LAU-10A,LAU-10/A,ROCKET,8828
LAU3/MA RKT LCHR (19),LAU-3/A,ROCKET,16526
LAU32 RKT LCHR (7),LAU-32/A,ROCKET,86
LAU-32/AERO 6A,LAU-32/A,ROCKET,1633
LAU-33,LAU-33/A,ROCKET,2526
LAU-3A/AERO7,LAU-3/A,ROCKET,24855
LAU-54,,ROCKET,1
LAU54 ROCKET POD,,ROCKET,9
LAU-56,LAU-56/A,ROCKET,153
LAU-59,LAU-59/A,ROCKET,5963
LAU59 RKT LCHR (7),LAU-59/A,ROCKET,2943
LAU68 RKT LCHR (7),LAU-68/A,ROCKET,2086
LEAFLET BOMB,M104 Bomb,SUPPORT,588
LEAFLET MANUAL,,SUPPORT,1499
LUU2 FLARE,LUU-2 Flare,SUPPORT,1590
M1 GP BOMB (1000),,BOMB,4
M117 DESTRUCTOR,M117D bomb,BOMB,12
M117 GP BOMB (750) HD,M117 bomb,BOMB,228
M117 GP BOMB (750) LD,M117 bomb,BOMB,14611
M117 GP BOMB HD-FMU30,M117 bomb,BOMB,1
M118,M118,BOMB,12
M118 DEMOL BOMB (3000),M118,BOMB,104
M118 DEMOL BOMB FUSE,M118,BOMB,118
M118 LASER GUIDED BMB,M118,BOMB,32
M120 P,,BOMB,1
M129 L,M129,BOMB,1521
M129E1 CHAFF DISP,M129,SUPPORT,301
M129E2 CHAFF DISP,M129,SUPPORT,135
M129EA1 LEAFLETS(1K),M129,SUPPORT,11852
M1A4 FRAG BOMB CLUSTR,AN-M41A1,BOMB,688
M28 FRAG BOMB CLUSTR,M28 cluster bomb,BOMB,31
M-3,Mark 83 bomb,BOMB,30613
M3 GP BOMB (1000),Mark 83 bomb,BOMB,3
M35 PH,,BOMB,7
M35/M32 INCEN BMB CLS,,BOMB,6
M36/M32 INCEN BMB CLS,,BOMB,886
M36E2 HIGH SPD M36,,BOMB,1383
M-39,,BOMB,136172
M4 GP BOMB (1000),Mark 84 bomb,BOMB,14
M47I INCEN BOMB (100),,BOMB,399
M47S SMOKE BOMB (100),,BOMB,242
M-61,,BOMB,76288
M64A1,,BOMB,6
M65 GP BOMB (1000),MK 65,BOMB,1
M65A1,MK 65,BOMB,368
M66 GP BOMB (2000),AN-M66,BOMB,1
MAO3 NBB,,BOMB,1
MB05 WAAPM30 (BLU54),BLU-54/B,BOMB,1
MC01 FAID,,SUPPORT,2
MC02 DAR,,SUPPORT,1
MD01 ALVM (CBU34/45),,BOMB,1
MD02 (CBU39/45),,BOMB,4
MF04 M117(MOD MK 75),,BOMB,2
MK 82 GP BOMB (500),MK 82,BOMB,1286
MK 82 GP BOMB (500) LD,MK 82,BOMB,62921
MK10 GP BOMB (100),,BOMB,116
MK11 GP BOMB (1000),,BOMB,2
MK-11/MK-12,,BOMB,65996
MK13 GP BOMB (500),,BOMB,2
MK188,,SUPPORT,1
MK-20 AN TANK/MTL,Mk 20,BOMB,4466
MK20MODO(CS),Mk 20,BOMB,2574
MK-24,,BOMB,60009
MK32,,SUPPORT,164
MK346 (MK82 W/MECH TL),,BOMB,375
MK36 DEST FUSED MK82,,BOMB,354
MK-36 DESTRUCT,,BOMB,7822
MK36 GP BOMB,,BOMB,1451
MK36 GP BOMB HD,,BOMB,6
MK36DST MOD1,,BOMB,32
MK36DST MOD2,,BOMB,41
MK36DST MOD3,,BOMB,53
MK36DST MOD4,,BOMB,19
MK4 GP BOMB (500),MK 4,BOMB,81
MK40 2.75 IN. RKT MTR,,ROCKET,32
MK40 DST FUSED MK83,,ROCKET,3
MK40DST MOD2,,ROCKET,1
MK52 WATER MINE,,BOMB,2
MK63,,BOMB,56
MK7 GP BOMB (500),,BOMB,1
MK77 NAPALM,,BOMB,607
MK8 GP BOMB (500),,BOMB,2
MK81 GP BOMB (250),MK 81,BOMB,17657
MK82 B,MK 82,BOMB,28304
MK82 GP BOMB (500) HD,MK 82,BOMB,3777
MK82 GP BOMB (M346 FS),MK 82,BOMB,363
MK82 GP BOMB 35FUS HD,MK 82,BOMB,1
MK82 GP BOMB HD-FMU30,MK 82,BOMB,1
MK82(LGB) LASER G/BMB,MK 82,BOMB,445
MK83 B,MK 83,BOMB,377
MK83 GP BOMB (1000),MK 83,BOMB,2020
MK83 GP BOMB (M346 FS),MK 83,BOMB,65
MK83 LASER G/BOMB,MK 83,BOMB,15
MK84 (EOGB),Mk 84,BOMB,64
MK84 FE GP BOMB (2000),Mk 84,BOMB,279
MK84 GP BOMB (2000),Mk 84,BOMB,596
MK84 GP BOMB (KMU351),Mk 84,BOMB,1171
MK84 GP BOMB (KMU353),Mk 84,BOMB,11
MK84 LASER G/MINE,Mk 84,BOMB,10
MK84 W/FMU72 DENWPN,Mk 84,BOMB,2
MLU-108,,BOMB,25
MLU10B AIR LAND MINE,,BOMB,20
PASSENGERS,,SUPPORT,87484
PH FLASH M112,Bomb M122,SUPPORT,12
PH FLASH M120,,SUPPORT,31
PH FLASH M123,,SUPPORT,46
PHOTO EQUIP,,SUPPORT,41592
RADIOS,,SUPPORT,3
RKTLAUCHLAU-60,LAU-60/A,ROCKET,758
ROCKEYE II,Mk 20,BOMB,545
ROKEY500LBBOMB,Mk 20,BOMB,614
SA06 SENSOR,,SUPPORT,3
SA08 SENSOR,,SUPPORT,112
SAO1- CV1- 1 ADSID,,SUPPORT,273
SAO2 HANDSID,,SUPPORT,2
SAO3 HELOSID,,SUPPORT,3
SAO4 FADSID,,SUPPORT,101
SAP BM,,SUPPORT,1
SB02- LSD- ACOUBUY,,SUPPORT,10
SB03- SPIKE -CV3-,,SUPPORT,2
SB04 DUMMY,,SUPPORT,11
SC01 MAGID,,SUPPORT,9
SC08 ACQUSID III SNSR,,SUPPORT,883
SCO1 ADSID III SENSOR,,SUPPORT,185
SD01 IRID,,SUPPORT,2
SHRIKE,AGM-45 Shrike,MISSILE,12690
SIDEWINDER,AIM-9 Sidewinder,MISSILE,15886
SPARROW,AIM-7 Sparrow,MISSILE,19688
SPEAKER HOURS (TENTHS),,SUPPORT,6983
STD/ARM AGM-78,,MISSILE,1191
SUU24A,,SUPPORT,51
SUU-40A or CS-1 BULK DISP,,SUPPORT,203
SUU41 DSP F-CBU39/40,,BOMB,7
TROOPS,Troops,SUPPORT,4
UNK,Unknown,SUPPORT,113
UNKNOWN,Unknown,SUPPORT,188
WALLEYE,AGM-62�Walleye,BOMB,483
WDU AN PR 2.75 ROCKET,,ROCKET,4
XM145,,SUPPORT,53
XM384 40MM AMMO,,SUPPORT,477
XM40E5,XM40E5 Gravel Bomb,MISSILE,3
XM41UNITS-CAN,,MISSILE,14
XM42 (XM12) GRVL BOMB,,MISSILE,2
XM54 MICROGRAVEL BOMB,,MISSILE,1
